"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"DA","BMW","NE",0,"NE",2745,3,45546.66,-6.14,25,7.34,NA,NA,43779.96,84,280.21,-44.24,41,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,8,17206,87.95,514,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7548,0,14896,0,10,4.7,0,0,13406.4,84,1145.62,1034.55,36,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","KIA","NE",0,"NE",7548,0,16286,0,21.49,4.7,NA,NA,12785.64,84,581.5,539.29,32,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",370,22,80433085,58.2,3343540,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",3812,0,10800,0,10,6.84,NA,NA,12599.16,84,1405,1255.01,47,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",186,9,3500,-25.69,40,7.59,NA,NA,2240,36,456.02,386.25,67,"UPOKOJENEC","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FORD","NE",0,"NE",2926,1,25100,-14.9,15,6.51,0.01,0,27873.72,84,1712.06,1380.23,59,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","FORD","NE",0,"NE",2926,1,17500,-4.71,20,6.49,NA,NA,17784.72,72,1419,962.15,54,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",86,18,7439266,33.74,591478,"NE","NE","NE"
"NE","VOLKSWAGEN","NE",0,"NE",4,3,17650,0,20,7.59,0,0,14473,84,1309.9,563.84,46,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","SUZUKI","NE",0,"NE",587,0,16800,0,17.86,3.48,NA,NA,13800.01,84,841.96,477.7,59,"UPOKOJENEC","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","OPEL","NE",1,"NE",2041,0,12320,0,27.41,7.58,20.64,0,11552.52,84,514.34,337.94,67,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","MITSHUBISHI","NE",0,"NE",14,10,7000,20.04,30,7.59,NA,NA,5040,24,829.27,730.79,62,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",21.03,9,2605884,8.11,25051,"NE","NE","NE"
"NE","TOYOTA","NE",0,"NE",70,0,16539,0,10,3.48,NA,NA,14885.1,36,2401.91,413.02,51,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
